date,volume,open,close,high,low,symbol
2021-11-01 12:35:00,700,152.41,152.41,152.41,152.41,COF
2021-11-01 12:55:00,1050,152.1,152.1,152.1,152.1,COF
2021-11-01 13:25:00,551,152.42,152.27,152.42,152.07,COF
2021-11-01 13:30:00,103614,152.27,153.69,154.0,152.2101,COF
2021-11-01 13:35:00,66180,153.69,154.54,154.77,153.25,COF
2021-11-01 13:40:00,58697,154.64,154.5516,154.72,153.865,COF
2021-11-01 13:45:00,44593,154.57,154.29,154.8277,154.23,COF
2021-11-01 13:50:00,48610,154.3,154.27,154.5,153.94,COF
2021-11-01 13:55:00,41648,154.26,153.8162,154.44,153.72,COF
2021-11-01 14:00:00,71440,153.91,153.575,154.02,153.34,COF
2021-11-01 14:05:00,34045,153.65,154.36,154.47,153.65,COF
2021-11-01 14:10:00,26573,154.36,154.29,154.4,154.15,COF
2021-11-01 14:15:00,33532,154.29,154.0715,154.29,153.88,COF
2021-11-01 14:20:00,30599,154.14,153.735,154.38,153.57,COF
2021-11-01 14:25:00,32565,153.74,153.68,153.86,153.4386,COF
2021-11-01 14:30:00,44473,153.695,153.83,154.04,153.655,COF
2021-11-01 14:35:00,26711,153.8,153.56,153.85,153.53,COF
2021-11-01 14:40:00,24286,153.58,153.58,153.69,153.35,COF
2021-11-01 14:45:00,39520,153.57,153.27,153.57,153.18,COF
2021-11-01 14:50:00,35719,153.25,152.83,153.26,152.82,COF
2021-11-01 14:55:00,30896,152.84,153.37,153.37,152.78,COF
2021-11-01 15:00:00,26928,153.37,153.49,153.705,153.22,COF
2021-11-01 15:05:00,18611,153.46,153.405,153.67,153.31,COF
2021-11-01 15:10:00,20673,153.4,153.35,153.54,153.27,COF
2021-11-01 15:15:00,23986,153.3327,153.68,153.68,153.21,COF
2021-11-01 15:20:00,33621,153.69,153.84,153.88,153.69,COF
2021-11-01 15:25:00,49153,153.8,153.75,153.94,153.57,COF
2021-11-01 15:30:00,24485,153.82,154.11,154.14,153.82,COF
2021-11-01 15:35:00,21313,154.11,153.87,154.11,153.82,COF
2021-11-01 15:40:00,49171,153.9,154.1,154.21,153.85,COF
